ID	MasterID
India	I3406
India	I7036
India	I3407
India	I3342
India	I2872
India	I2871
India	I3349
India	I3344
India	I3343
India	I6946
India	I6934
India	I3351
India	I3402
India	I6942
India	I6944
India	I3346
India	I6938
India	I3352
India	I6945
India	I6943
Indonesia	In661
Iran	I1955
Ireland	VK543
Ireland	VK544
Ireland	VK546
Ireland	VK545
IsleofMan	VK170
Italy	R969
Italy	R970
Italy	R973
Italy	R1220
Italy	R1221
Italy	R1224
Italy	SNN003
Italy	R1219
Italy	R1286
Italy	R1287
Italy	R1288
Italy	R1289
Italy	R52
Italy	R53
Italy	R54
Italy	R55
Italy	R56
Italy	R57
Italy	R61
Italy	R1290
Italy	SNN001
Italy	SNN002
Italy	SNN004
Italy	VK535
Italy	R62
Italy	VK534
Italy	VK536
Italy	VK537
Italy	VK538
Italy	R64
Italy	R65
Italy	R58
Italy	R1285
Italy	R63
Italy	I12221
Italy	COR001
Italy	R59
Italy	R60
Italy	R1283
Italy	COR002
Italy	I12220
Italy	R104
Italy	CL102
Italy	CL110
Italy	CL121
Italy	CL145
Italy	CL146
Italy	CL151
Italy	CL23
Italy	CL25
Italy	CL30
Italy	CL31
Italy	CL36
Italy	CL38
Italy	CL47
Italy	CL49
Italy	CL53
Italy	CL57
Italy	CL63
Italy	CL83
Italy	CL84
Italy	CL87
Italy	CL92
Italy	CL93
Italy	CL94
Italy	CL97
Italy	R105
Italy	R106
Italy	R107
Italy	R108
Italy	R109
Italy	R110
Italy	R117
Italy	R118
Italy	R120
Italy	R121
Italy	R122
Italy	R30
Italy	R32
Italy	R33
Italy	R34
Italy	R35
Italy	R36
Italy	R31
Italy	R130
Italy	R133
Italy	R134
Italy	R136
Italy	R137
Italy	I12223
Italy	R126
Italy	R47
Italy	R132
Italy	R50
Italy	AMC014
Italy	R125
Italy	R128
Italy	R1543
Italy	R1544
Italy	R1545
Italy	R37
Italy	R38
Italy	R40
Italy	R41
Italy	R43
Italy	R44
Italy	R45
Italy	R49
Italy	R51
Italy	R66
Italy	R67
Italy	R68
Italy	R69
Italy	R70
Italy	R71
Italy	R72
Italy	R73
Italy	AMC001
Italy	AMC005
Italy	R123
Italy	R1551
Italy	R39
Italy	R1547
Italy	R1548
Italy	R1549
Italy	R1550
Italy	R835
Italy	R836
Italy	R80
Italy	R111
Italy	R113
Italy	R114
Italy	R115
Italy	R116
Italy	R131
Italy	R436
Italy	R75
Italy	R76
Italy	R78
Italy	R81
Italy	R42
Kazakhstan	DA207
Kazakhstan	DA208
Kazakhstan	DA28
Kazakhstan	DA29
Kazakhstan	DA128
Kazakhstan	DA23
Kazakhstan	DA179
Kazakhstan	I12116
Kazakhstan	DA126
Kazakhstan	I25911
Kazakhstan	I25832
Kazakhstan	DA94
Kazakhstan	I12113
Kazakhstan	KLK002
Kazakhstan	I12117
Kazakhstan	KKB001
Kazakhstan	DA93
Kazakhstan	DA89
Kazakhstan	DA124
Kazakhstan	KKB002
Kazakhstan	DA87
Kazakhstan	DA228
Kazakhstan	DA27
Kazakhstan	KRY001
Kazakhstan	DA121
Kazakhstan	DA95
Kazakhstan	DA177
Kazakhstan	BRE011
Kazakhstan	DA127
Kazakhstan	KNT005
Kazakhstan	I10141
Kazakhstan	BRE004
Kazakhstan	BRE008
Kazakhstan	BRE014
Kazakhstan	KNT001
Kazakhstan	KNT002
Kazakhstan	KNT003
Kazakhstan	KNT004
Kazakhstan	BRE007
Kazakhstan	DA125
Kazakhstan	DA206
Kazakhstan	DA123
Kazakhstan	DA226
Kazakhstan	BRE013
Kazakhstan	I11540
Kazakhstan	I10514
Kazakhstan	AIG005
Kazakhstan	BRE009
Kazakhstan	BRE012
Kazakhstan	DA92
Kazakhstan	BRE005
Kazakhstan	DA30
Kazakhstan	BRV001
Kenya	KPL002
Kenya	I12379
Kenya	I0595
Kenya	I12381
Kenya	KPL003
Kenya	I12391
Kenya	I8901
Kenya	I8802
Kenya	I8892
Kenya	MOL001
Kenya	I12394
Kenya	I12384
Kenya	I8805
Kenya	I8808
Kenya	I10719
Kyrgyzstan	DA117
Kyrgyzstan	DA106
Kyrgyzstan	DA99
Kyrgyzstan	DA116
Kyrgyzstan	DA118
Kyrgyzstan	CHK004
Kyrgyzstan	DA68
Kyrgyzstan	DA66
Kyrgyzstan	DA385
Kyrgyzstan	DA86
Kyrgyzstan	DA52
Kyrgyzstan	DA74
Kyrgyzstan	DA65
Kyrgyzstan	DA69
Kyrgyzstan	DA72
Kyrgyzstan	ALN005
Kyrgyzstan	DA54
Kyrgyzstan	DA104
Kyrgyzstan	DA80
Kyrgyzstan	DA96
Kyrgyzstan	DA100
Kyrgyzstan	DA73
Kyrgyzstan	ALN004
Kyrgyzstan	DA71
Kyrgyzstan	ALN001
Kyrgyzstan	DA81
Kyrgyzstan	DA101
Kyrgyzstan	DA85
Kyrgyzstan	ALN003
Kyrgyzstan	ALN008
Kyrgyzstan	ALN009
Kyrgyzstan	ALN002
Kyrgyzstan	DA105
Kyrgyzstan	DA82
Kyrgyzstan	DA70
Kyrgyzstan	DA98
Kyrgyzstan	DA55
Lebanon	SI-45
Lebanon	SI-39
Lebanon	SI-41
Lebanon	SI-42
Lebanon	SI-38
Lebanon	SI-40
Lebanon	SI-44
Lebanon	SI-47
Lebanon	SI-53
Lebanon	QED-4
Lebanon	QED-12
Lebanon	QED-2
Lebanon	QED-7
Lebanon	SFI-33
Lebanon	SFI-24
Lebanon	SFI-11
Lithuania	DA171
Malaysia	Ma555
Malaysia	Ma554
Mexico	BC23
Mexico	BC25
Mexico	BC27
Mexico	BC28
Mexico	BC29
Mexico	BC30
Moldova	scy332
Mongolia	DEE001
Mongolia	CHN014
Mongolia	BAU001
Mongolia	BRL002
Mongolia	UUS001
Mongolia	BRL001
Mongolia	UUS002
Mongolia	ARG001
Mongolia	ARG002
Mongolia	ARG003
Mongolia	BAY001
Mongolia	BAZ001
Mongolia	BRG001
Mongolia	BRG002
Mongolia	BRG004
Mongolia	BRG005
Mongolia	CHD001
Mongolia	DAS001
Mongolia	ERD001
Mongolia	GAN002
Mongolia	GTO001
Mongolia	GUN002
Mongolia	IKU001
Mongolia	KGK001
Mongolia	KHL001
Mongolia	KHN001
Mongolia	KHV002
Mongolia	KNN001
Mongolia	KNU001
Mongolia	KRN001
Mongolia	KRN002
Mongolia	MRI001
Mongolia	NRC001
Mongolia	RAH001
Mongolia	SHA001
Mongolia	SHG001
Mongolia	SHG002
Mongolia	SHG003
Mongolia	SHR001
Mongolia	TAH002
Mongolia	TSA001
Mongolia	TSA002
Mongolia	TSA003
Mongolia	TSA004
Mongolia	TSA005
Mongolia	TSA006
Mongolia	TSA007
Mongolia	UGO001
Mongolia	UGO002
Mongolia	ZAM001
Mongolia	ZAM002
Mongolia	ZAR002
Mongolia	ZAY001
Mongolia	DUU002
Mongolia	ULN011
Mongolia	SHU002
Mongolia	KHO001
Mongolia	ULA001
Mongolia	ZAA005
Mongolia	ZAA003
Mongolia	OLN001
Mongolia	OLN002
Mongolia	OLN004
Mongolia	OLN005
Mongolia	OLN007
Mongolia	OLN008
Mongolia	OLN009
Mongolia	OLN010
Mongolia	OLN011
Mongolia	OLN012
Mongolia	ZAA001
Mongolia	ZAA004
Mongolia	OLN003
Mongolia	UGU001
Mongolia	ZAA007
Mongolia	TSB001
Mongolia	ULI002
Mongolia	NOM001
Mongolia	TUM001
Mongolia	TAV001
Mongolia	TAV005
Mongolia	TAV006
Mongolia	TAV011
Mongolia	ZAA002
Mongolia	CHN004
Mongolia	CHN006
Mongolia	CHN007
Mongolia	CHN008
Mongolia	CHN012
Mongolia	CHN015
Mongolia	CHN016
Mongolia	I13175
Mongolia	UGU003
Mongolia	UGU006
Mongolia	UGU011
Mongolia	TUK001
Mongolia	BUR002
Mongolia	BUR003
Mongolia	TUH001
Mongolia	TUH002
Mongolia	TUK002
Mongolia	TUK003
Mongolia	KHO007
Mongolia	KHO006
Mongolia	ATS001
Mongolia	UGU005
Mongolia	SAN001
Mongolia	I6228
Mongolia	BUR004
Mongolia	TMI001
Mongolia	UGU002
Mongolia	UGU002
Mongolia	UGU010
Mongolia	DUU001
Mongolia	DA39
Mongolia	ULN004
Mongolia	YUR001
Mongolia	CHN010
Mongolia	DEL001
Mongolia	BUR001
Mongolia	BAM001
Mongolia	BRU001
Mongolia	BTO001
Mongolia	DOL001
Mongolia	EME002
Mongolia	HUD001
Mongolia	NAI001
Mongolia	NAI002
Mongolia	SOL001
Mongolia	SON001
Mongolia	TAK001
Mongolia	TEV002
Mongolia	TEV003
Mongolia	UVG001
Nepal	S40
Nepal	S10
Nepal	S35
Nepal	S41
Norway	VK113
Norway	VK114
Norway	VK116
Norway	VK117
Norway	VK118
Norway	VK124
Norway	VK125
Norway	VK388
Norway	VK387
Norway	VK414
Norway	VK421
Norway	VK386
Norway	VK389
Norway	VK393
Norway	VK394
Norway	VK422
Norway	VK515
Norway	VK516
Norway	VK520
Norway	VK524
Norway	VK530
Norway	VK415
Norway	VK420
Norway	VK448
Norway	VK547
Norway	VK392
Norway	VK417
Norway	VK518
Norway	VK525
Norway	VK526
Norway	VK548
Norway	VK528
Norway	VK529
Norway	VK419
Norway	VK514
Norway	VK519
Norway	VK390
Norway	VK391
Norway	VK523
Norway	VK418
Pakistan	I1805
Pakistan	I6889
Pakistan	I7715
Pakistan	I7716
Pakistan	I2959
Pakistan	I2960
Pakistan	I6890
Pakistan	I1808
Pakistan	I11565
Pakistan	I11562
Pakistan	I6550
Pakistan	I7714
Pakistan	I8218
Pakistan	I6547
Pakistan	I6551
Panama	PAPV_52
Panama	PAPV_53
Panama	PAPV_61
Panama	PAPV_93
Panama	PAPV_26
Panama	PAPV_27
Panama	PAPV_173
Panama	PAPV_174
Panama	PAPV_118
Panama	PAPV_172
Panama	PAPV_117
Panama	PAPV_137
Panama	PAPV_167
Panama	PAPV_146
Panama	PAPV_175
Panama	PAPV_114
Peru	UC8_8168
Peru	I2545
Peru	I1743
Peru	UC8-8168
Peru	UC8-8173
Peru	UC12-12
Peru	UC12-20
Peru	UC12-24
Peru	UC12-25
Peru	UC12_24
Peru	UC8_8173
Peru	I0964
Peru	I2549
Peru	I1479
Peru	I0965
Peru	UC12_20
Peru	UC12_25
Peru	I1396
Peru	UC12_12
Peru	I1356
Peru	I2258
Peru	I1744
Peru	I1400
Peru	I0044
Peru	I2236
Peru	I2563
Peru	I2544
Peru	I0969
Peru	I2242
Peru	I0042
Peru	I2250
Peru	I2251
Peru	I2264
Peru	I1358
Peru	I0972
Peru	I0967
Peru	I0966
Peru	I1484
Peru	I2551
Peru	I0237
Peru	I0968
Peru	I1357
Peru	I2241
Peru	I2243
Peru	I2244
Peru	I2550
Peru	I2543
Peru	I2560
Peru	I2252
Peru	I2253
Peru	I1485
Peru	I2263
Peru	I0324
Peru	I1742
Peru	I0975
Peru	I0971
Peru	I2558
Peru	I2237
Peru	I2557
Peru	IL4
Peru	I0974
Peru	I2238
Peru	I2262
Peru	I0045
Peru	IL2
Peru	IL5
Peru	IL3
Peru	IL7
Peru	I2233
Philippines	Phl534
Poland	VK210
Poland	VK211
Poland	VK212
Poland	VK153
Poland	VK154
Poland	VK155
Poland	VK156
Poland	VK157
Poland	VK494
Poland	VK200
PuertoRico	LOI001
PuertoRico	PDI008
PuertoRico	PDI008
PuertoRico	I13323
PuertoRico	PDI011
PuertoRico	I13538
PuertoRico	I13324
PuertoRico	PI-51
PuertoRico	PDI010
PuertoRico	PDI012013
PuertoRico	PDI003
PuertoRico	PDI009
PuertoRico	I13441
PuertoRico	I13541
PuertoRico	I13326
PuertoRico	I13540
PuertoRico	PCA006
PuertoRico	TIB002
PuertoRico	PDI006
PuertoRico	PCA009
PuertoRico	PCA002
PuertoRico	PCA010
PuertoRico	I13539
PuertoRico	TIB001
PuertoRico	PCA001
Russia	CHV001
Russia	CHV002
Russia	NEO299
Russia	I7338
Russia	irk032
Russia	I7781
Russia	I7347
Russia	Yana_young
Russia	I3358
Russia	I8294
Russia	Sunghir6
Russia	DA164
Russia	VK160
Russia	VK161
Russia	VK410
Russia	I7343
Russia	I7343
Russia	I20756
Russia	I7757
Russia	VK14
Russia	VK15
Russia	VK16
Russia	VK17
Russia	VK18
Russia	VK19
Russia	VK20
Russia	VK218
Russia	VK21
Russia	VK220
Russia	VK22
Russia	VK23
Russia	VK408
Russia	VK409
Russia	I1524
Russia	VK158
Russia	VK159
Russia	VK219
Russia	VK222
Russia	VK223
Russia	VK224
Russia	VK252
Russia	VK253
Russia	VK254
Russia	VK255
Russia	VK272
Russia	VK273
Russia	VK413
Russia	VK466
Russia	VK470
Russia	DA142
Russia	I7340
Russia	I7331
Russia	DA243
Russia	VK221
Russia	I7332
Russia	I7344
Russia	I7339
Russia	I7339
Russia	I7341
Russia	I7341
Russia	MS20
Russia	DA188
Russia	RISE504
Russia	I7349
Russia	I7349
Russia	I7346
Russia	I7337
Russia	DA189
Russia	I7348
Russia	I7333
Russia	DA190
Russia	bla001
Russia	DA146
Russia	DA160
Russia	DA161
Russia	DA162
Russia	I7621
Russia	I1525
Russia	tem003
Russia	NEO253
Russia	tem001
Russia	NEO233
Russia	NEO242
Russia	tem002
Russia	VIII5
Russia	VIII6
Russia	chy002
Russia	VIII7
Russia	VIII8
Russia	VIII9
Russia	chy001
Russia	VII15
Russia	NEO241
Russia	IMA006
Russia	IMA001
Russia	IMA002
Russia	IMA004
Russia	IMA007
Russia	IMA008
Serbia	Vim2b
Slovakia	DA119
SolomonIslands	MAI002
SouthAfrica	cha001
SouthAfrica	mfo001
SouthAfrica	new001
SouthAfrica	ela001
SouthAfrica	UCT473
SouthAfrica	baa001
SouthAfrica	UCT386
Spain	I3807
Spain	I3808
Spain	I3810
Spain	I3809
Spain	I7423
Spain	I7424
Spain	I7425
Spain	I7426
Spain	I8145
Spain	I8146
Spain	I8147
Spain	I7458
Spain	I7457
Spain	I12515
Spain	I12648
Spain	I12646
Spain	I12649
Spain	I12647
Spain	I12645
Spain	I12650
Spain	I12644
Spain	I10897
Spain	I12514
Spain	I10853
Spain	I7497
Spain	I7499
Spain	I7498
Spain	I10854
Spain	I10852
Spain	I12516
Spain	I7500
Spain	I10892
Spain	I7427
Spain	I10851
Spain	I10895
Spain	I7672
Spain	I7673
Spain	I7674
Spain	I7675
